TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-05-23 17:29:18,726    	Travel.API                                   	EFCoreLogs-myClusteredCache                	44                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:24,488    	Travel.API                                   	EFCoreLogs-myClusteredCache                	29                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:24,490    	Travel.API                                   	EFCoreLogs-myClusteredCache                	29                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:27,010    	Travel.API                                   	EFCoreLogs-myClusteredCache                	43                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:27,014    	Travel.API                                   	EFCoreLogs-myClusteredCache                	43                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:30,120    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:30,123    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:33,352    	Travel.API                                   	EFCoreLogs-myClusteredCache                	44                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:33,356    	Travel.API                                   	EFCoreLogs-myClusteredCache                	44                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:35,711    	Travel.API                                   	EFCoreLogs-myClusteredCache                	33                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:35,713    	Travel.API                                   	EFCoreLogs-myClusteredCache                	33                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:39,770    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:39,772    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:44,283    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:44,285    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:47,065    	Travel.API                                   	EFCoreLogs-myClusteredCache                	34                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:47,067    	Travel.API                                   	EFCoreLogs-myClusteredCache                	34                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:48,931    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
